"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,177,17.69,"simulated",924,0.191558441558442,0.0999435028248588
"2",0.02,173,18.59,"simulated",924,0.187229437229437,0.107456647398844
"3",0.03,167,19.44,"simulated",924,0.180735930735931,0.116407185628743
"4",0.04,142,19.33,"simulated",924,0.153679653679654,0.13612676056338
"5",0.05,126,19.26,"simulated",924,0.136363636363636,0.152857142857143
"6",0.06,118,19.48,"simulated",924,0.127705627705628,0.165084745762712
"7",0.07,114,19.89,"simulated",924,0.123376623376623,0.174473684210526
"8",0.08,109,20.16,"simulated",924,0.117965367965368,0.184954128440367
"9",0.09,104,20.36,"simulated",924,0.112554112554113,0.195769230769231
"10",0.12,100,21.84,"simulated",924,0.108225108225108,0.2184
"11",0.13,96,21.96,"simulated",924,0.103896103896104,0.22875
"12",0.14,96,22.62,"simulated",924,0.103896103896104,0.235625
"13",0.15,96,23.28,"simulated",924,0.103896103896104,0.2425
"14",0.16,94,23.61,"simulated",924,0.101731601731602,0.251170212765957
"15",0.17,92,23.9,"simulated",924,0.0995670995670996,0.259782608695652
"16",0.18,91,24.34,"simulated",924,0.0984848484848485,0.267472527472527
"17",0.19,89,24.59,"simulated",924,0.0963203463203463,0.276292134831461
"18",0.2,88,25.04,"simulated",924,0.0952380952380952,0.284545454545455
"19",0.22,79,24.28,"simulated",924,0.0854978354978355,0.307341772151899
"20",0.23,79,24.86,"simulated",924,0.0854978354978355,0.314683544303797
"21",0.24,78,25.2,"simulated",924,0.0844155844155844,0.323076923076923
"22",0.25,76,25.26,"simulated",924,0.0822510822510823,0.332368421052632
"23",0.26,74,25.28,"simulated",924,0.0800865800865801,0.341621621621622
"24",0.27,65,23.3,"simulated",924,0.0703463203463204,0.358461538461538
"25",0.28,64,23.48,"simulated",924,0.0692640692640693,0.366875
"26",0.29,63,23.64,"simulated",924,0.0681818181818182,0.375238095238095
"27",0.3,62,23.78,"simulated",924,0.0670995670995671,0.383548387096774
"28",0.31,61,23.9,"simulated",924,0.066017316017316,0.391803278688525
"29",0.32,59,23.67,"simulated",924,0.0638528138528139,0.401186440677966
"30",0.33,58,23.75,"simulated",924,0.0627705627705628,0.40948275862069
"31",0.34,56,23.46,"simulated",924,0.0606060606060606,0.418928571428571
"32",0.35,55,23.5,"simulated",924,0.0595238095238095,0.427272727272727
"33",0.36,50,22.04,"simulated",924,0.0541125541125541,0.4408
"34",0.38,49,22.34,"simulated",924,0.053030303030303,0.455918367346939
"35",0.4,48,22.63,"simulated",924,0.051948051948052,0.471458333333333
"36",0.41,47,22.57,"simulated",924,0.0508658008658009,0.480212765957447
"37",0.43,47,23.27,"simulated",924,0.0508658008658009,0.495106382978723
"38",0.45,46,23.53,"simulated",924,0.0497835497835498,0.511521739130435
"39",0.47,45,23.77,"simulated",924,0.0487012987012987,0.528222222222222
"40",0.48,44,23.65,"simulated",924,0.0476190476190476,0.5375
"41",0.49,43,23.51,"simulated",924,0.0465367965367965,0.546744186046512
"42",0.51,42,23.69,"simulated",924,0.0454545454545455,0.564047619047619
"43",0.52,40,22.98,"simulated",924,0.0432900432900433,0.5745
"44",0.57,39,24.05,"simulated",924,0.0422077922077922,0.616666666666667
"45",0.58,38,23.78,"simulated",924,0.0411255411255411,0.625789473684211
"46",0.59,36,22.9,"simulated",924,0.038961038961039,0.636111111111111
"47",0.61,28,18.54,"simulated",924,0.0303030303030303,0.662142857142857
"48",0.64,27,18.55,"simulated",924,0.0292207792207792,0.687037037037037
"49",0.66,26,18.3,"simulated",924,0.0281385281385281,0.703846153846154
"50",0.68,25,18.02,"simulated",924,0.0270562770562771,0.7208
"51",0.71,25,18.62,"simulated",924,0.0270562770562771,0.7448
"52",0.79,23,18.63,"simulated",924,0.0248917748917749,0.81
"53",0.8,22,18.03,"simulated",924,0.0238095238095238,0.819545454545455
"54",0.85,19,16.46,"simulated",924,0.0205627705627706,0.866315789473684
"55",0.98,19,18.81,"simulated",924,0.0205627705627706,0.99
"56",0.99,19,19,"simulated",924,0.0205627705627706,1
"57",1.03,17,17.68,"simulated",924,0.0183982683982684,1.04
"58",1.09,16,17.6,"simulated",924,0.0173160173160173,1.1
"59",1.12,15,16.95,"simulated",924,0.0162337662337662,1.13
"60",1.24,14,17.5,"simulated",924,0.0151515151515152,1.25
"61",1.3,13,17.03,"simulated",924,0.0140692640692641,1.31
"62",1.36,12,16.44,"simulated",924,0.012987012987013,1.37
"63",1.37,9,12.42,"simulated",924,0.00974025974025974,1.38
"64",1.4,8,11.28,"simulated",924,0.00865800865800866,1.41
"65",1.56,7,10.99,"simulated",924,0.00757575757575758,1.57
"66",1.65,6,9.96,"simulated",924,0.00649350649350649,1.66
"67",1.86,5,9.35,"simulated",924,0.00541125541125541,1.87
"68",2.4,4,9.64,"simulated",924,0.00432900432900433,2.41
"69",7.71,2,15.44,"simulated",924,0.00216450216450216,7.72
"70",16.15,1,16.16,"simulated",924,0.00108225108225108,16.16
"71",0.926553672316384,28,18.46,"actual",924,0.0303030303030303,0.659285714285714
