"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,32,3.25,"simulated",122,0.262295081967213,0.1015625
"2",0.02,30,3.37,"simulated",122,0.245901639344262,0.112333333333333
"3",0.03,26,3.4,"simulated",122,0.213114754098361,0.130769230769231
"4",0.04,22,3.35,"simulated",122,0.180327868852459,0.152272727272727
"5",0.06,21,3.51,"simulated",122,0.172131147540984,0.167142857142857
"6",0.07,21,3.64,"simulated",122,0.172131147540984,0.173333333333333
"7",0.08,20,3.69,"simulated",122,0.163934426229508,0.1845
"8",0.09,18,3.63,"simulated",122,0.147540983606557,0.201666666666667
"9",0.12,18,4,"simulated",122,0.147540983606557,0.222222222222222
"10",0.17,15,4.12,"simulated",122,0.122950819672131,0.274666666666667
"11",0.24,15,4.89,"simulated",122,0.122950819672131,0.326
"12",0.28,14,5.04,"simulated",122,0.114754098360656,0.36
"13",0.29,11,4.26,"simulated",122,0.0901639344262295,0.387272727272727
"14",0.32,10,4.2,"simulated",122,0.0819672131147541,0.42
"15",0.39,8,3.96,"simulated",122,0.0655737704918033,0.495
"16",0.42,7,3.72,"simulated",122,0.0573770491803279,0.531428571428571
"17",1.03,6,6.34,"simulated",122,0.0491803278688525,1.05666666666667
"18",1.14,5,5.75,"simulated",122,0.040983606557377,1.15
"19",1.19,5,6,"simulated",122,0.040983606557377,1.2
"20",1.82,4,7.32,"simulated",122,0.0327868852459016,1.83
"21",2.66,3,8.01,"simulated",122,0.0245901639344262,2.67
"22",3.4,2,6.82,"simulated",122,0.0163934426229508,3.41
"23",9.97,1,9.98,"simulated",122,0.00819672131147541,9.98
"24",1.028125,6,6.19,"actual",122,0.0491803278688525,1.03166666666667
