"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",557,0.01,69,19.65,0.123877917414722,0.284782608695652
"2",557,0.02,66,19.79,0.118491921005386,0.299848484848485
"3",557,0.03,65,19.96,0.116696588868941,0.307076923076923
"4",557,0.04,65,20.18,0.116696588868941,0.310461538461538
"5",557,0.05,64,20.35,0.114901256732496,0.31796875
"6",557,0.07,62,20.65,0.111310592459605,0.333064516129032
"7",557,0.08,61,20.8,0.10951526032316,0.340983606557377
"8",557,0.09,61,21.06,0.10951526032316,0.345245901639344
"9",557,0.1,61,21.33,0.10951526032316,0.349672131147541
"10",557,0.11,61,21.61,0.10951526032316,0.354262295081967
"11",557,0.12,61,21.91,0.10951526032316,0.359180327868853
"12",557,0.15,58,22.33,0.104129263913824,0.385
"13",557,0.16,56,22.27,0.100538599640934,0.397678571428571
"14",557,0.17,54,22.18,0.0969479353680431,0.410740740740741
"15",557,0.18,54,22.43,0.0969479353680431,0.41537037037037
"16",557,0.21,53,22.97,0.0951526032315978,0.433396226415094
"17",557,0.28,52,24.44,0.0933572710951526,0.47
"18",557,0.3,52,24.95,0.0933572710951526,0.479807692307692
"19",557,0.31,52,25.22,0.0933572710951526,0.485
"20",557,0.32,52,25.5,0.0933572710951526,0.490384615384615
"21",557,0.33,52,25.79,0.0933572710951526,0.495961538461538
"22",557,0.36,52,26.67,0.0933572710951526,0.512884615384615
"23",557,0.4,48,26.25,0.0861759425493716,0.546875
"24",557,0.45,46,26.74,0.0825852782764812,0.581304347826087
"25",557,0.46,46,27.02,0.0825852782764812,0.587391304347826
"26",557,0.48,46,27.59,0.0825852782764812,0.599782608695652
"27",557,0.49,46,27.89,0.0825852782764812,0.606304347826087
"28",557,0.5,45,27.69,0.0807899461400359,0.615333333333333
"29",557,0.51,42,26.43,0.0754039497307002,0.629285714285714
"30",557,0.52,41,26.17,0.0736086175942549,0.638292682926829
"31",557,0.55,40,26.42,0.0718132854578097,0.6605
"32",557,0.6,39,27.23,0.0700179533213645,0.698205128205128
"33",557,0.62,38,27.19,0.0682226211849192,0.715526315789474
"34",557,0.63,38,27.48,0.0682226211849192,0.723157894736842
"35",557,0.65,36,26.74,0.0646319569120287,0.742777777777778
"36",557,0.66,34,25.67,0.0610412926391382,0.755
"37",557,0.72,33,26.45,0.059245960502693,0.801515151515152
"38",557,0.73,33,26.7,0.059245960502693,0.809090909090909
"39",557,0.74,31,25.45,0.0556552962298025,0.820967741935484
"40",557,0.79,30,25.81,0.0538599640933573,0.860333333333333
"41",557,0.8,30,26.04,0.0538599640933573,0.868
"42",557,0.84,29,26.11,0.052064631956912,0.900344827586207
"43",557,0.88,27,25.21,0.0484739676840215,0.933703703703704
"44",557,0.89,26,24.52,0.0466786355475763,0.943076923076923
"45",557,0.92,26,25.12,0.0466786355475763,0.966153846153846
"46",557,0.95,25,24.77,0.0448833034111311,0.9908
"47",557,0.99,25,25.58,0.0448833034111311,1.0232
"48",557,1,25,25.8,0.0448833034111311,1.032
"49",557,1.09,25,27.78,0.0448833034111311,1.1112
"50",557,1.12,24,27.31,0.0430879712746858,1.13791666666667
"51",557,1.18,23,27.39,0.0412926391382406,1.19086956521739
"52",557,1.2,23,27.83,0.0412926391382406,1.21
"53",557,1.24,22,27.5,0.0394973070017953,1.25
"54",557,1.41,14,19.88,0.0251346499102334,1.42
"55",557,1.48,13,19.37,0.0233393177737881,1.49
"56",557,1.57,12,18.96,0.0215439856373429,1.58
"57",557,1.6,10,16.1,0.0179533213644524,1.61
"58",557,1.66,8,13.36,0.0143626570915619,1.67
"59",557,1.76,7,12.39,0.0125673249551167,1.77
"60",557,1.98,6,11.94,0.0107719928186715,1.99
"61",557,2.08,5,10.45,0.00897666068222621,2.09
"62",557,2.33,4,9.36,0.00718132854578097,2.34
"63",557,3.34,3,10.05,0.00538599640933573,3.35
"64",557,9.97,1,9.98,0.00179533213644524,9.98
